,Index,ModelName,PredictionScore,TestData,TimeTaken
0,,DecisionTrees,0.6784287296009243,Mixed,0.007378101348876953
0,,DecisionTrees,0.9923664122137404,NCAA,0.0005948543548583984
0,,KernelSVM,0.5077745149954268,Mixed,16.287796020507812
0,,KernelSVM,0.5343511450381679,NCAA,0.0036132335662841797
0,,SVM,0.7412988013286478,Mixed,8.496007919311523
0,,SVM,0.9312977099236641,NCAA,0.0009860992431640625
0,,KNN,0.6745294372502768,Mixed,26.485376119613647
0,,KNN,0.7786259541984732,NCAA,0.010823965072631836
0,,LogisticRegression,0.7406729889760747,Mixed,0.002532958984375
0,,LogisticRegression,0.9465648854961832,NCAA,0.00067901611328125
0,,NaiveBayes,0.7371588119193183,Mixed,0.008215188980102539
0,,NaiveBayes,0.7213740458015268,NCAA,0.000881195068359375
0,,RandomForest,0.6537813507918934,Mixed,0.02702617645263672
0,,RandomForest,0.8664122137404581,NCAA,0.002048969268798828
0,,DecisionTrees,0.7619047619047619,Mixed 2019,0.00037932395935058594
0,,KernelSVM,1.0,Mixed 2019,0.05787014961242676
0,,SVM,0.5873015873015873,Mixed 2019,0.028867721557617188
0,,KNN,0.5555555555555556,Mixed 2019,0.0313718318939209
0,,LogisticRegression,0.6031746031746031,Mixed 2019,0.0005910396575927734
0,,NaiveBayes,0.6984126984126984,Mixed 2019,0.0004858970642089844
0,,RandomForest,0.47619047619047616,Mixed 2019,0.0013630390167236328
0,,DecisionTrees,0.5714285714285714,NCAA 2019,0.0004191398620605469
0,,KernelSVM,1.0,NCAA 2019,0.0010209083557128906
0,,SVM,0.5714285714285714,NCAA 2019,0.0004699230194091797
0,,KNN,0.5555555555555556,NCAA 2019,0.0030269622802734375
0,,LogisticRegression,0.6190476190476191,NCAA 2019,0.0003802776336669922
0,,NaiveBayes,0.42857142857142855,NCAA 2019,0.00061798095703125
0,,RandomForest,0.6825396825396826,NCAA 2019,0.0014872550964355469
